provenance_record_id,cid,compound_id,herb_id,herb_name,tcmsp_mol_id,evidence_tier,match_confidence,match_method,source_database,source_locator,source_snapshot,adjudication_status
TCMSP-ADJ-0008294,117754,CMP-PUBCHEM-117754,HERB-0446,防风,MOL008743,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=4509;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008295,118495,CMP-PUBCHEM-118495,HERB-0017,云芝,MOL012807,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=6220;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008296,118529,CMP-PUBCHEM-118529,HERB-0397,薤白,MOL007649,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3995;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008297,119034,CMP-PUBCHEM-119034,HERB-0050,前胡,MOL007253,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3773;herb_position=4,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008298,119034,CMP-PUBCHEM-119034,HERB-0111,委陵菜,MOL007253,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3773;herb_position=5,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008299,119034,CMP-PUBCHEM-119034,HERB-0176,枸骨叶,MOL007253,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3773;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008300,119034,CMP-PUBCHEM-119034,HERB-0299,积雪草,MOL007253,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3773;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008301,119034,CMP-PUBCHEM-119034,HERB-0383,葎草,MOL007253,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3773;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008302,119039,CMP-PUBCHEM-119039,HERB-0030,佩兰,MOL000593,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=379;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008303,119205,CMP-PUBCHEM-119205,HERB-0016,了哥王根,MOL000537,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=355;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008304,119205,CMP-PUBCHEM-119205,HERB-0232,牛蒡子,MOL000537,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=355;herb_position=4,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008305,119205,CMP-PUBCHEM-119205,HERB-0290,石上柏,MOL000537,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=355;herb_position=5,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008306,119205,CMP-PUBCHEM-119205,HERB-0316,络石藤,MOL000537,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=355;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008307,119205,CMP-PUBCHEM-119205,HERB-0423,连翘,MOL000537,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=355;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008308,119242,CMP-PUBCHEM-119242,HERB-0143,广藿香,MOL000463,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=300;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008309,119242,CMP-PUBCHEM-119242,HERB-0227,灯盏细辛,MOL000463,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=300;herb_position=11,2025-07-18,accepted_direct_relation
