cid,has_tcmsp_mapping,herb_count,herb_names,tcmsp_mol_id_count,tcmsp_mol_ids,unique_edge_count,evidence_tiers,provenance_status
8815,1,22,丁香 | 八角茴香 | 千金子 | 小茴香 | 干姜 | 木瓜 | 木香 | 枇杷叶 | 桂枝 | 桑叶 | 梅花 | 淫羊藿 | 玳玳花 | 番泻叶 | 石菖蒲 | 砂仁 | 紫苏 | 细辛 | 胡椒 | 花椒 | 蒿本 | 辛夷,1,MOL002361,22,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8846,1,1,桑椹,1,MOL010306,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8857,1,24,三七花 | 凌霄花 | 大蒜 | 山茱萸 | 巴戟天 | 木蝴蝶 | 桑叶 | 檀香 | 沙棘 | 牛膝 | 牛蒡子 | 白芍 | 白芷 | 矮地茶 | 紫苏 | 红花 | 艾叶 | 覆盆子 | 辛夷 | 辣椒 | 香茅 | 鸡屎藤 | 麻黄 | 黑芝麻,1,MOL000775,24,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8858,1,4,功劳木 | 木通 | 满山红 | 矮地茶,1,MOL011001,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8872,1,1,辣椒,1,MOL008714,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8878,1,1,西红花,1,MOL001380,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8892,1,45,三七 | 余甘子 | 佛手 | 党参 | 凌霄花 | 北刘寄奴 | 升麻 | 南瓜子 | 四季青 | 天葵子 | 威灵仙 | 川楝子 | 巴戟天 | 徐长卿 | 木棉花 | 木瓜 | 枇杷叶 | 柴胡 | 栀子 | 桂枝 | 桑叶 | 沙棘 | 海金沙 | 灵芝 | 牛膝 | 牡丹皮 | 生姜 | 白薇 | 矮地茶 | 竹节参 | 红花 | 罗汉果 | 羌活 | 芫荽 | 苦楝子 | 薏苡仁 | 西洋参 | 覆盆子 | 辣椒 | 钩藤 | 银杏叶 | 青果 | 鹤虱 | 麻黄 | 黄芩,1,MOL002046,45,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8900,1,15,三七花 | 川芎 | 木贼 | 牛蒡子 | 玫瑰花 | 甘草 | 砂仁 | 羌活 | 葛花 | 薤白 | 银杏叶 | 防风 | 鹅不食草 | 麻黄 | 黑芝麻,1,MOL002198,15,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8906,1,1,荔枝核,1,MOL010688,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8908,1,6,梅花 | 玫瑰花 | 矮地茶 | 罗汉果 | 菊花 | 薄荷,1,MOL010127,6,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8914,1,11,人参叶 | 党参 | 木瓜 | 木贼 | 柴胡 | 灵芝 | 瞿麦 | 芫荽 | 苦杏仁 | 苦楝子 | 西洋参,1,MOL003509,11,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8918,1,1,广藿香,1,MOL005927,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8919,1,1,南蛇藤果,1,MOL003492,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8955,1,4,川芎 | 柴胡 | 白鲜皮 | 羌活,1,MOL002141,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8969,1,2,荠菜 | 钩藤,1,MOL008488,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
